image,class,precision,recall,f1,IoU,ground_truth_surface_mm2,prediction_surface_mm2,surface_error_mm2,surface_error_percent
654_leaf4,yellow_rust,0.5786538461538462,0.9143117593436645,0.7087504416440937,0.5488872674206494,5.416381530612244,8.558244897959183,3.1418633673469385,58.006684898207226
233_leaf4,bg,0.995143825931909,0.9953073769927681,0.9952255947430204,0.9904965627468219,1195.6888528571426,1195.8853633265303,0.19651046938770378,0.016434916903188154
233_leaf4,leaf,0.9952764088472613,0.9936098164966778,0.9944424144092867,0.9889462609196101,1864.8958752040812,1861.773103306122,3.1227718979591828,0.16745020134796795
233_leaf4,oidium,0.0,1.0,0.0,0.0,0.0,2.3926877755102036,2.3926877755102036,0.0
233_leaf4,yellow_rust,0.8209332146969538,0.8387230458671444,0.8297327858120573,0.7090113913751017,24.62239973469387,25.155973387755097,0.5335736530612252,2.167025386682352
684_leaf3,bg,0.9954442254159791,0.9975211642181767,0.9964816125918645,0.9929878964804568,2086.255208653061,2090.608063673469,4.352855020408242,0.2086444171525149
684_leaf3,leaf,0.986181060434744,0.9764656397563314,0.9812993036385392,0.9632851996111226,1355.4034774693876,1342.0506404489793,13.352837020408288,0.9851558773730342
684_leaf3,oidium,0.8626581651848478,0.9097612469537216,0.8855838101055725,0.7946616516666606,157.62410871428568,166.23074061224486,8.606631897959176,5.460225575999816
684_leaf3,yellow_rust,0.0,1.0,0.0,0.0,0.0,0.3933501020408163,0.3933501020408163,0.0
448_leaf5,bg,0.9920636202090497,0.9940778953905132,0.9930697363961013,0.9862348687800988,1810.6994727346935,1814.3758972448977,3.6764245102042423,0.20303891206482702
448_leaf5,leaf,0.9937827878976044,0.9870413941970615,0.9904006194615567,0.9809837828281476,2527.692113795918,2510.5453409795914,17.146772816326575,0.6783568585248564
448_leaf5,oidium,0.027279889698640928,0.05639250814332247,0.03677153856365326,0.01873013726418284,3.2336999183673463,6.684647591836733,3.450947673469387,106.71824104234528
448_leaf5,yellow_rust,0.6180939912419304,0.8523457343493201,0.7165608595757598,0.5583130800724224,26.437076816326524,36.456477448979584,10.01940063265306,37.89904875740824
304_leaf1,bg,0.9938922561021772,0.9932516179279396,0.9935718337469268,0.9872257822890526,887.5393704081631,886.967284653061,0.5720857551020799,0.06445750737107571
304_leaf1,leaf,0.9910052208238714,0.9882639466493968,0.9896326854137018,0.9794781275351466,1244.2292429387753,1240.7875118367344,3.441731102040876,0.27661551290272746
304_leaf1,oidium,0.5944688696638775,0.6141358494989158,0.6041423444458858,0.4328108543460752,11.233025591836732,11.604650918367344,0.3716253265306122,3.3083279610853897
304_leaf1,yellow_rust,0.2882007333127181,0.5637746284134116,0.38142009412727645,0.23565107458912768,3.809077306122448,7.451268836734693,3.6421915306122448,95.61873487729001
16_leaf2,bg,0.9894456577081518,0.9932216813271524,0.9913300737670967,0.9828091905837164,935.1429618367346,938.7117499591835,3.56878812244895,0.38163021784812934
16_leaf2,leaf,0.9968882027379665,0.9957068813846887,0.9962971918847787,0.9926217041831845,2350.2359183469384,2347.450867959183,2.785050387755291,0.11850088606057874
16_leaf2,oidium,0.4834377797672337,0.3076923076923077,0.37604456824512533,0.23156089193825044,0.5776815306122448,0.36767536734693873,0.21000616326530608,36.35327635327636
16_leaf2,yellow_rust,1.0,0.0005733944954128441,0.001146131805157593,0.0005733944954128441,0.5740607346938774,0.0003291632653061224,0.5737315714285713,99.94266055045871
